x,y,color,var_x,var_y,cov_xy,hits,last_seen_s
67.302945,58.071699,yellow,0.000185,0.000185,0.000000,216,267.406
66.401093,54.593958,blue,0.000097,0.000097,0.000000,411,265.876
71.053127,53.466899,blue,0.000465,0.000465,0.000000,86,256.916
67.778332,57.456212,big_orange,0.000127,0.000127,0.000000,314,269.456
67.673479,54.598825,big_orange,0.000482,0.000482,0.000000,83,257.706
65.614829,54.321414,blue,0.000112,0.000112,0.000000,356,263.386
74.980368,49.095295,blue,0.003333,0.003333,0.000000,12,231.996
65.679382,57.974518,yellow,0.001143,0.001143,0.000000,35,254.856
76.053854,61.470467,yellow,0.004000,0.004000,0.000000,10,231.976
72.982601,51.939471,blue,0.000354,0.000354,0.000000,113,256.496
73.062323,58.945638,yellow,0.001905,0.001905,0.000000,21,232.476
66.749828,57.308938,big_orange,0.000186,0.000186,0.000000,215,266.556
63.768517,54.228318,blue,0.001000,0.001000,0.000000,40,232.556
73.655137,49.086607,blue,0.003077,0.003077,0.000000,13,232.126
69.838919,53.527918,blue,0.000769,0.000769,0.000000,52,257.166
64.282197,58.071986,yellow,0.000870,0.000870,0.000000,46,255.096
74.105258,61.450341,yellow,0.005714,0.005714,0.000000,7,232.146
65.609274,57.334883,big_orange,0.000323,0.000323,0.000000,124,254.266
71.596746,58.980151,yellow,0.001818,0.001818,0.000000,22,232.626
75.521464,58.660433,blue,0.005000,0.005000,0.000000,8,232.186
62.566660,53.770297,blue,0.001333,0.001333,0.000000,30,232.916
68.774245,53.564670,blue,0.000240,0.000240,0.000000,167,257.386
62.801834,58.114422,yellow,0.000976,0.000976,0.000000,41,255.366
64.893870,54.733390,big_orange,0.000247,0.000247,0.000000,162,260.606
75.274353,56.521159,orange,0.002500,0.002500,0.000000,16,232.336
64.435489,57.426700,big_orange,0.000769,0.000769,0.000000,52,254.286
71.396891,49.079902,blue,0.002500,0.002500,0.000000,16,232.376
69.790609,51.634558,blue,0.001379,0.001379,0.000000,29,232.766
70.385838,58.931372,yellow,0.001429,0.001429,0.000000,28,232.756
73.934155,58.672463,blue,0.003333,0.003333,0.000000,12,232.386
61.581303,54.302192,blue,0.001026,0.001026,0.000000,39,232.796
61.901360,58.266887,yellow,0.001143,0.001143,0.000000,35,255.526
63.329211,57.431062,big_orange,0.000909,0.000909,0.000000,44,232.826
74.238060,56.548254,orange,0.004444,0.004444,0.000000,9,232.426
62.825784,54.713101,big_orange,0.000506,0.000506,0.000000,79,253.866
70.451518,46.147816,blue,0.003333,0.003333,0.000000,12,232.496
69.993850,49.121182,blue,0.001481,0.001481,0.000000,27,253.946
66.541336,53.892585,blue,0.000150,0.000150,0.000000,266,264.906
68.257875,51.697933,blue,0.000488,0.000488,0.000000,82,254.356
71.721981,64.340507,yellow,0.003077,0.003077,0.000000,13,232.516
68.834789,58.981601,yellow,0.000147,0.000147,0.000000,273,271.636
62.099328,57.425226,big_orange,0.000816,0.000816,0.000000,49,232.996
72.376869,58.734461,blue,0.001290,0.001290,0.000000,31,253.816
69.949851,61.460185,yellow,0.002222,0.002222,0.000000,18,254.126
69.106557,46.054156,blue,0.001538,0.001538,0.000000,26,232.986
69.477791,48.520299,blue,0.000615,0.000615,0.000000,65,253.796
65.206814,53.814130,blue,0.000163,0.000163,0.000000,246,262.346
67.181784,51.658440,blue,0.001429,0.001429,0.000000,28,233.076
70.378525,64.242790,yellow,0.001212,0.001212,0.000000,33,254.106
67.667253,59.008193,yellow,0.000220,0.000220,0.000000,182,268.176
60.964684,57.452320,big_orange,0.000816,0.000816,0.000000,49,233.126
71.492625,56.556214,orange,0.000784,0.000784,0.000000,51,254.046
60.517680,54.360593,big_orange,0.001143,0.001143,0.000000,35,232.916
68.729040,61.593707,yellow,0.000339,0.000339,0.000000,118,254.206
67.963419,45.510020,blue,0.000417,0.000417,0.000000,96,254.546
67.274170,49.372572,blue,0.000645,0.000645,0.000000,62,254.566
63.434833,53.144104,blue,0.000690,0.000690,0.000000,58,257.436
65.806017,51.519859,blue,0.000580,0.000580,0.000000,69,234.566
68.985564,64.514636,yellow,0.000541,0.000541,0.000000,74,254.186
66.238415,59.165947,yellow,0.001026,0.001026,0.000000,39,254.866
59.951650,57.377554,big_orange,0.000690,0.000690,0.000000,58,254.616
59.522408,54.359837,big_orange,0.001212,0.001212,0.000000,33,233.046
70.501408,56.528071,orange,0.000656,0.000656,0.000000,61,254.056
66.428666,43.669293,blue,0.000171,0.000171,0.000000,234,244.366
67.940759,67.329439,yellow,0.002500,0.002500,0.000000,16,232.896
67.326073,61.512090,yellow,0.002500,0.002500,0.000000,16,232.916
66.659991,46.093185,blue,0.001379,0.001379,0.000000,29,233.266
66.471483,49.004786,blue,0.000207,0.000207,0.000000,193,254.726
64.876210,52.101037,blue,0.000154,0.000154,0.000000,260,261.396
67.542787,64.333697,yellow,0.001290,0.001290,0.000000,31,233.326
65.110278,59.318335,yellow,0.000396,0.000396,0.000000,101,255.126
68.749893,50.129813,yellow,0.002105,0.002105,0.000000,19,254.086
69.531819,56.887208,orange,0.000404,0.000404,0.000000,99,253.436
65.348092,43.485279,blue,0.000388,0.000388,0.000000,103,254.086
66.793613,67.345841,yellow,0.003333,0.003333,0.000000,12,233.016
66.105498,46.709609,blue,0.000320,0.000320,0.000000,125,234.386
64.964522,49.095847,blue,0.001250,0.001250,0.000000,32,254.926
61.369357,53.263573,blue,0.000606,0.000606,0.000000,66,257.866
66.108853,61.528462,yellow,0.003077,0.003077,0.000000,13,233.046
59.113038,57.330514,yellow,0.000755,0.000755,0.000000,53,253.566
68.960873,60.139228,blue,0.000165,0.000165,0.000000,243,271.636
62.751013,51.084177,blue,0.000173,0.000173,0.000000,231,255.326
66.148177,64.400031,yellow,0.002500,0.002500,0.000000,16,233.146
63.349345,59.394972,yellow,0.001250,0.001250,0.000000,32,255.456
67.219064,50.251850,yellow,0.000513,0.000513,0.000000,78,254.416
69.436967,64.274818,blue,0.004444,0.004444,0.000000,9,254.136
63.967518,43.337756,blue,0.004444,0.004444,0.000000,9,233.106
65.829636,67.351667,yellow,0.004444,0.004444,0.000000,9,233.106
63.857418,46.861639,blue,0.000315,0.000315,0.000000,127,243.866
63.268760,49.383740,blue,0.000392,0.000392,0.000000,102,255.296
59.902019,52.672429,blue,0.000085,0.000085,0.000000,470,254.596
64.931105,61.542631,yellow,0.002857,0.002857,0.000000,14,233.186
58.563996,54.325594,big_orange,0.005000,0.005000,0.000000,8,233.126
67.060036,58.749732,blue,0.000396,0.000396,0.000000,101,243.496
66.350235,51.769762,yellow,0.000597,0.000597,0.000000,67,245.366
61.185012,52.005879,blue,0.000076,0.000076,0.000000,524,253.736
64.849344,64.438749,yellow,0.002857,0.002857,0.000000,14,233.286
62.270239,59.431190,yellow,0.001333,0.001333,0.000000,30,255.606
65.604923,50.713122,yellow,0.000339,0.000339,0.000000,118,254.786
71.773891,53.283593,orange,0.001538,0.001538,0.000000,26,256.736
66.671260,56.589815,orange,0.000104,0.000104,0.000000,385,266.236
63.201633,46.919667,blue,0.000325,0.000325,0.000000,123,234.416
62.833175,49.811108,blue,0.000160,0.000160,0.000000,250,255.416
58.088571,53.190926,blue,0.000110,0.000110,0.000000,363,250.796
63.380169,61.803885,yellow,0.001290,0.001290,0.000000,31,233.496
63.908972,64.687489,yellow,0.004444,0.004444,0.000000,9,233.376
61.381871,59.533487,yellow,0.001739,0.001739,0.000000,23,233.526
66.806441,64.778610,blue,0.001538,0.001538,0.000000,26,233.586
62.519851,44.328857,blue,0.000339,0.000339,0.000000,118,234.676
65.071279,42.757105,yellow,0.000635,0.000635,0.000000,63,234.166
61.235860,42.550734,blue,0.000308,0.000308,0.000000,130,235.446
63.339819,40.357479,yellow,0.000284,0.000284,0.000000,141,235.646
66.907732,47.551701,yellow,0.000144,0.000144,0.000000,277,244.236
63.148979,50.776470,blue,0.000223,0.000223,0.000000,179,255.156
63.971860,47.934495,blue,0.000197,0.000197,0.000000,203,254.666
63.667249,45.138826,blue,0.000191,0.000191,0.000000,209,255.246
59.373338,41.261539,blue,0.000256,0.000256,0.000000,156,236.346
60.446710,38.356073,yellow,0.000240,0.000240,0.000000,167,236.606
56.883585,40.801946,blue,0.000268,0.000268,0.000000,149,236.896
62.454453,42.545439,blue,0.000195,0.000195,0.000000,205,245.876
56.690204,37.623913,yellow,0.000240,0.000240,0.000000,167,237.286
64.518925,40.125527,yellow,0.000205,0.000205,0.000000,195,246.196
67.975588,47.820685,yellow,0.000930,0.000930,0.000000,43,254.266
64.618306,44.450573,blue,0.000260,0.000260,0.000000,154,254.316
54.502631,41.065461,blue,0.000158,0.000158,0.000000,253,247.076
67.293709,43.075599,yellow,0.000265,0.000265,0.000000,151,254.156
52.811393,38.363242,yellow,0.000168,0.000168,0.000000,238,238.676
60.343273,40.346512,blue,0.000145,0.000145,0.000000,276,247.236
60.947432,37.197049,yellow,0.000357,0.000357,0.000000,112,237.726
52.254638,42.659582,blue,0.000130,0.000130,0.000000,307,247.386
63.047807,41.771712,blue,0.000234,0.000234,0.000000,171,247.256
65.089246,39.319213,yellow,0.000258,0.000258,0.000000,155,247.406
57.467496,39.735599,blue,0.000131,0.000131,0.000000,306,247.596
49.691275,40.966193,yellow,0.000148,0.000148,0.000000,270,239.646
51.061874,45.225218,blue,0.000144,0.000144,0.000000,278,240.056
56.621037,36.531436,yellow,0.000367,0.000367,0.000000,109,238.376
60.242255,39.616831,blue,0.003636,0.003636,0.000000,11,237.676
48.051718,44.662893,yellow,0.000153,0.000153,0.000000,262,240.206
51.072961,48.042244,blue,0.000167,0.000167,0.000000,240,240.316
54.253336,40.274743,blue,0.000435,0.000435,0.000000,92,239.016
48.096690,48.688169,yellow,0.000183,0.000183,0.000000,218,240.396
52.164814,50.583287,blue,0.000199,0.000199,0.000000,201,240.576
52.338314,37.751520,yellow,0.001176,0.001176,0.000000,34,239.016
49.682656,52.303157,yellow,0.000225,0.000225,0.000000,178,240.626
50.709718,53.477168,yellow,0.000235,0.000235,0.000000,170,252.436
54.170004,52.444662,blue,0.000267,0.000267,0.000000,150,240.736
51.767157,42.131565,blue,0.004444,0.004444,0.000000,9,239.666
50.094552,55.616358,orange,0.000374,0.000374,0.000000,107,240.716
56.196885,53.105769,blue,0.000181,0.000181,0.000000,221,242.136
50.519645,44.687991,blue,0.001667,0.001667,0.000000,24,240.296
45.050279,56.623721,orange,0.000580,0.000580,0.000000,69,240.746
47.526242,44.178109,yellow,0.005000,0.005000,0.000000,8,240.286
50.470488,58.344241,orange,0.000769,0.000769,0.000000,52,240.776
50.391147,47.338097,blue,0.000667,0.000667,0.000000,60,240.916
47.428638,47.911582,yellow,0.000755,0.000755,0.000000,53,240.926
56.644344,57.088168,yellow,0.000155,0.000155,0.000000,258,243.096
45.380299,59.280647,orange,0.001739,0.001739,0.000000,23,240.786
51.240230,49.812629,blue,0.000412,0.000412,0.000000,97,241.546
58.342402,56.145273,big_orange,0.000141,0.000141,0.000000,283,243.416
59.045419,52.874627,blue,0.000077,0.000077,0.000000,517,253.436
48.711606,51.451041,yellow,0.000421,0.000421,0.000000,95,241.576
51.036973,59.774719,blue,0.000237,0.000237,0.000000,169,242.326
49.648297,52.734231,yellow,0.000345,0.000345,0.000000,116,241.846
49.110383,54.947556,orange,0.000333,0.000333,0.000000,120,241.916
54.549972,59.172181,yellow,0.000197,0.000197,0.000000,203,242.756
53.117024,51.843852,blue,0.000280,0.000280,0.000000,143,242.166
59.336707,55.901897,yellow,0.000110,0.000110,0.000000,362,252.046
44.252496,55.863774,orange,0.000533,0.000533,0.000000,75,241.496
49.666343,57.896195,orange,0.000296,0.000296,0.000000,135,242.126
44.796942,58.833785,orange,0.000435,0.000435,0.000000,92,241.706
60.268694,55.653813,big_orange,0.000077,0.000077,0.000000,521,253.466
50.558909,61.360772,blue,0.000288,0.000288,0.000000,139,242.316
53.446907,61.911970,yellow,0.000256,0.000256,0.000000,156,252.906
62.166018,55.867280,yellow,0.000116,0.000116,0.000000,344,257.826
53.536309,64.905615,yellow,0.000430,0.000430,0.000000,93,242.626
50.671140,65.572339,blue,0.000635,0.000635,0.000000,63,242.376
64.914177,56.834170,yellow,0.000222,0.000222,0.000000,180,243.836
55.365567,52.984677,blue,0.000606,0.000606,0.000000,66,242.796
54.629515,67.690163,yellow,0.001081,0.001081,0.000000,37,242.716
57.210891,52.873018,big_orange,0.000118,0.000118,0.000000,339,253.386
67.953146,50.711475,orange,0.000290,0.000290,0.000000,138,244.056
63.634497,44.273274,blue,0.000385,0.000385,0.000000,104,245.696
71.720842,60.992799,blue,0.000580,0.000580,0.000000,69,244.156
60.326924,56.248893,big_orange,0.000755,0.000755,0.000000,53,256.966
62.198688,56.476238,yellow,0.001026,0.001026,0.000000,39,257.946
60.911202,52.583276,blue,0.000258,0.000258,0.000000,155,254.516
68.450917,56.887062,blue,0.000250,0.000250,0.000000,160,270.506
66.604991,50.367997,yellow,0.000519,0.000519,0.000000,77,254.566
66.969845,48.698628,yellow,0.000833,0.000833,0.000000,48,244.716
73.612178,53.351056,orange,0.001053,0.001053,0.000000,38,256.386
66.923897,45.061789,yellow,0.000471,0.000471,0.000000,85,254.746
65.353307,41.371312,yellow,0.000597,0.000597,0.000000,67,245.126
64.234893,49.259437,blue,0.000345,0.000345,0.000000,116,255.116
64.303254,46.235442,blue,0.000533,0.000533,0.000000,75,245.446
61.141494,41.295327,blue,0.000625,0.000625,0.000000,64,245.376
63.198397,43.432573,blue,0.000741,0.000741,0.000000,54,245.326
66.781615,51.289506,yellow,0.000755,0.000755,0.000000,53,245.646
73.479050,55.122550,orange,0.000656,0.000656,0.000000,61,256.436
62.906809,38.872444,yellow,0.000784,0.000784,0.000000,51,245.346
77.805682,51.123448,orange,0.001905,0.001905,0.000000,21,245.046
67.503316,46.263515,yellow,0.000769,0.000769,0.000000,52,245.596
66.218458,42.391793,yellow,0.000851,0.000851,0.000000,47,245.596
77.809254,52.400612,orange,0.004444,0.004444,0.000000,9,245.336
63.867595,39.489500,yellow,0.001250,0.001250,0.000000,32,245.666
59.407005,40.400484,blue,0.001250,0.001250,0.000000,32,245.696
62.057078,41.859060,blue,0.001111,0.001111,0.000000,36,245.736
64.957900,47.282736,blue,0.000460,0.000460,0.000000,87,254.336
61.327749,37.476708,yellow,0.000221,0.000221,0.000000,181,247.336
68.011800,47.062202,yellow,0.000260,0.000260,0.000000,154,254.126
57.511932,36.603487,yellow,0.000197,0.000197,0.000000,203,248.246
67.826207,42.557223,yellow,0.001667,0.001667,0.000000,24,254.066
53.557389,37.487062,yellow,0.000147,0.000147,0.000000,272,249.606
55.147836,39.991626,blue,0.000158,0.000158,0.000000,253,249.606
60.972386,39.443274,blue,0.000385,0.000385,0.000000,104,248.276
63.579159,41.077408,blue,0.001250,0.001250,0.000000,32,247.576
61.727933,36.475481,yellow,0.000408,0.000408,0.000000,98,248.316
52.961723,41.890970,blue,0.000139,0.000139,0.000000,287,250.256
65.468240,38.588394,yellow,0.001538,0.001538,0.000000,26,247.666
50.483489,40.191460,yellow,0.000148,0.000148,0.000000,271,250.246
57.985412,38.938241,blue,0.000296,0.000296,0.000000,135,248.946
51.764051,44.487459,blue,0.000133,0.000133,0.000000,301,250.886
48.814821,43.913490,yellow,0.000149,0.000149,0.000000,269,250.876
57.405899,35.779665,yellow,0.000556,0.000556,0.000000,72,248.966
51.773917,47.349410,blue,0.000149,0.000149,0.000000,268,251.186
48.839198,47.979336,yellow,0.000169,0.000169,0.000000,237,251.186
52.929725,49.971382,blue,0.000191,0.000191,0.000000,209,251.256
50.453386,51.674181,yellow,0.000221,0.000221,0.000000,181,251.246
51.480800,52.911302,yellow,0.000255,0.000255,0.000000,157,251.256
54.974909,51.896897,blue,0.000274,0.000274,0.000000,146,251.296
50.823944,55.088581,orange,0.000303,0.000303,0.000000,132,252.516
45.811460,56.025633,orange,0.000548,0.000548,0.000000,73,252.086
51.346758,57.992243,orange,0.000345,0.000345,0.000000,116,252.716
58.240082,56.722188,yellow,0.000181,0.000181,0.000000,221,253.326
46.177183,58.894232,orange,0.000588,0.000588,0.000000,68,252.296
51.194684,46.588954,blue,0.001212,0.001212,0.000000,33,251.516
48.241175,47.126057,yellow,0.001176,0.001176,0.000000,34,251.526
52.214975,59.440494,blue,0.000374,0.000374,0.000000,107,252.296
49.664448,51.104766,yellow,0.000430,0.000430,0.000000,93,252.176
52.147719,49.408911,blue,0.000455,0.000455,0.000000,88,252.136
50.715891,52.467505,yellow,0.000374,0.000374,0.000000,107,252.326
50.209297,54.649435,orange,0.000417,0.000417,0.000000,96,252.236
45.244972,55.498498,orange,0.000571,0.000571,0.000000,70,251.986
54.278990,51.644466,blue,0.000274,0.000274,0.000000,146,252.756
50.731371,57.500099,orange,0.000563,0.000563,0.000000,71,252.016
55.894407,58.840791,yellow,0.000364,0.000364,0.000000,110,252.416
45.749840,58.341292,orange,0.000851,0.000851,0.000000,47,251.806
61.913946,55.087014,big_orange,0.000179,0.000179,0.000000,223,253.716
51.900802,61.114316,blue,0.000513,0.000513,0.000000,78,252.306
55.127843,61.683496,yellow,0.000563,0.000563,0.000000,71,252.456
64.017491,54.892855,yellow,0.000282,0.000282,0.000000,142,253.376
61.149940,55.344533,yellow,0.000268,0.000268,0.000000,149,253.756
56.404824,64.908818,yellow,0.000430,0.000430,0.000000,93,253.216
53.147043,60.032589,blue,0.000635,0.000635,0.000000,63,252.926
52.841440,61.643268,blue,0.000784,0.000784,0.000000,51,252.826
53.475374,65.821696,blue,0.000625,0.000625,0.000000,64,252.976
56.848239,59.139493,yellow,0.000430,0.000430,0.000000,93,253.346
56.089436,61.991786,yellow,0.000526,0.000526,0.000000,76,253.216
67.230492,55.767695,yellow,0.000084,0.000084,0.000000,476,268.246
64.489640,48.363483,blue,0.000305,0.000305,0.000000,131,254.546
58.397822,67.595915,yellow,0.001081,0.001081,0.000000,37,253.306
64.944333,45.364886,blue,0.000426,0.000426,0.000000,94,255.116
61.694213,52.482870,big_orange,0.001379,0.001379,0.000000,29,254.316
